iter	Passed	Remaining
444	1196	1492
445	1199	1490
446	1202	1487
447	1204	1484
448	1206	1480
449	1208	1477
450	1211	1474
451	1213	1471
452	1215	1467
453	1217	1464
454	1219	1460
455	1221	1457
456	1223	1453
457	1225	1450
458	1227	1447
459	1229	1443
460	1233	1441
461	1235	1438
462	1237	1435
463	1239	1431
464	1241	1427
465	1243	1424
466	1245	1421
467	1248	1419
468	1250	1415
469	1252	1412
470	1254	1408
471	1256	1405
472	1258	1401
473	1260	1398
474	1263	1396
475	1265	1393
476	1267	1389
477	1269	1386
478	1271	1383
479	1274	1380
480	1276	1377
481	1279	1375
482	1281	1372
483	1285	1370
484	1287	1367
485	1289	1364
486	1291	1360
487	1295	1358
488	1297	1355
489	1299	1352
490	1301	1349
491	1303	1346
492	1305	1342
493	1308	1339
494	1310	1337
495	1312	1333
496	1315	1331
497	1317	1328
498	1319	1324
499	1321	1321
500	1323	1318
501	1325	1315
502	1328	1312
503	1330	1309
504	1332	1306
505	1334	1302
506	1336	1299
507	1338	1296
508	1340	1293
509	1343	1290
510	1346	1288
511	1348	1285
512	1350	1282
513	1352	1279
514	1354	1275
515	1357	1273
516	1360	1270
517	1362	1267
518	1364	1264
519	1366	1261
520	1368	1258
521	1370	1255
522	1372	1252
523	1375	1249
524	1377	1246
525	1379	1242
526	1381	1239
527	1383	1236
528	1385	1233
529	1388	1231
530	1390	1228
531	1392	1225
532	1394	1222
533	1396	1218
534	1399	1215
535	1401	1213
536	1404	1210
537	1406	1207
538	1408	1204
539	1410	1201
540	1412	1198
541	1414	1195
542	1417	1192
543	1419	1189
544	1421	1186
545	1423	1183
546	1425	1180
547	1427	1177
548	1429	1174
549	1431	1170
550	1434	1168
551	1435	1165
552	1437	1162
553	1439	1158
554	1441	1155
555	1443	1152
556	1445	1149
557	1448	1147
558	1450	1144
559	1452	1141
560	1454	1138
561	1456	1135
562	1458	1132
563	1460	1129
564	1462	1126
565	1465	1123
566	1467	1120
567	1468	1117
568	1470	1114
569	1472	1111
570	1474	1107
571	1476	1104
572	1478	1101
573	1480	1098
574	1482	1095
575	1484	1092
576	1486	1089
577	1488	1086
578	1490	1083
579	1492	1081
580	1496	1078
581	1498	1076
582	1501	1073
583	1503	1070
584	1505	1067
585	1507	1064
586	1508	1061
587	1511	1059
588	1513	1056
589	1515	1053
590	1517	1050
591	1519	1047
592	1521	1044
593	1523	1041
594	1527	1039
595	1529	1036
596	1531	1033
597	1533	1030
598	1535	1027
599	1537	1025
600	1539	1022
601	1542	1020
602	1545	1017
603	1547	1014
604	1551	1012
605	1555	1011
606	1560	1010
607	1562	1007
608	1564	1004
609	1566	1001
610	1568	998
611	1570	995
612	1573	993
613	1575	990
614	1577	987
615	1579	984
616	1582	982
617	1584	979
618	1586	976
619	1588	973
620	1590	970
621	1592	967
622	1594	965
623	1597	962
624	1599	959
625	1601	957
626	1604	954
627	1606	951
628	1608	948
629	1610	945
630	1612	942
631	1614	940
632	1616	937
633	1618	934
634	1620	931
635	1622	928
636	1624	925
637	1627	923
638	1629	920
639	1631	917
640	1633	914
641	1636	912
642	1637	909
643	1639	906
644	1641	903
645	1643	900
646	1645	897
647	1647	894
648	1649	892
649	1651	889
650	1653	886
651	1655	883
652	1657	880
653	1659	877
654	1661	875
655	1663	872
656	1665	869
657	1667	866
658	1669	863
659	1671	860
660	1673	858
661	1675	855
662	1677	852
663	1681	850
664	1683	847
665	1685	845
666	1687	842
667	1688	839
668	1690	836
669	1692	833
670	1694	830
671	1697	828
672	1700	826
673	1702	823
674	1704	820
675	1706	817
676	1708	815
677	1710	812
678	1713	809
679	1715	807
680	1717	804
681	1719	801
682	1720	798
683	1722	795
684	1724	793
685	1726	790
686	1729	787
687	1731	785
688	1733	782
689	1735	779
690	1737	776
691	1739	774
692	1741	771
693	1743	768
694	1745	766
695	1747	763
696	1749	760
697	1751	757
698	1753	755
699	1755	752
700	1758	750
701	1761	747
702	1763	745
703	1765	742
704	1767	739
705	1769	737
706	1771	734
707	1775	732
708	1777	729
709	1780	727
710	1782	724
711	1784	721
712	1785	718
713	1787	716
714	1791	714
715	1793	711
716	1796	708
717	1798	706
718	1800	703
719	1807	702
720	1809	700
721	1811	697
722	1814	695
723	1816	692
724	1818	689
725	1820	686
726	1822	684
727	1824	681
728	1826	679
729	1828	676
730	1830	673
731	1833	671
732	1835	668
733	1838	666
734	1840	663
735	1842	660
736	1844	658
737	1846	655
738	1848	652
739	1850	650
740	1854	648
741	1856	645
742	1858	642
743	1860	640
744	1862	637
745	1864	634
746	1867	632
747	1869	629
748	1872	627
749	1874	624
750	1876	622
751	1878	619
752	1881	617
753	1883	614
754	1886	612
755	1889	609
756	1891	607
757	1894	604
758	1895	602
759	1897	599
760	1900	596
761	1902	594
762	1904	591
763	1909	589
764	1912	587
765	1917	585
766	1919	583
767	1922	580
768	1925	578
769	1927	575
770	1931	573
771	1933	571
772	1935	568
773	1938	565
774	1940	563
775	1942	560
776	1945	558
777	1948	556
778	1951	553
779	1954	551
780	1956	548
781	1958	546
782	1962	543
783	1966	541
784	1969	539
785	1971	536
786	1973	534
787	1976	531
788	1979	529
789	1983	527
790	1986	524
791	1988	522
792	1990	519
793	1994	517
794	1998	515
795	2001	512
796	2004	510
797	2006	508
798	2015	507
799	2018	504
800	2020	502
801	2022	499
802	2030	498
803	2032	495
804	2035	492
805	2037	490
806	2041	488
807	2046	486
808	2048	483
809	2051	481
810	2053	478
811	2058	476
812	2061	474
813	2063	471
814	2066	469
815	2068	466
816	2073	464
817	2076	462
818	2079	459
819	2081	456
820	2083	454
821	2088	452
822	2091	449
823	2094	447
824	2096	444
825	2098	442
826	2100	439
827	2106	437
828	2108	434
829	2110	432
830	2112	429
831	2115	427
832	2119	424
833	2123	422
834	2126	420
835	2129	417
836	2131	415
837	2134	412
838	2136	409
839	2138	407
840	2140	404
841	2143	402
842	2146	399
843	2148	397
844	2150	394
845	2152	391
846	2155	389
847	2157	386
848	2161	384
849	2163	381
850	2166	379
851	2168	376
852	2170	374
853	2172	371
854	2175	368
855	2178	366
856	2180	363
857	2183	361
858	2185	358
859	2187	356
860	2190	353
861	2193	351
862	2196	348
863	2198	346
864	2201	343
865	2203	340
866	2205	338
867	2207	335
868	2209	333
869	2211	330
870	2213	327
871	2216	325
872	2218	322
873	2221	320
874	2223	317
875	2225	314
876	2227	312
877	2229	309
878	2231	307
879	2232	304
880	2234	301
881	2236	299
882	2239	296
883	2241	294
884	2242	291
885	2244	288
886	2246	286
887	2248	283
888	2250	281
889	2253	278
890	2255	275
891	2257	273
892	2259	270
893	2261	268
894	2263	265
895	2264	262
896	2266	260
897	2269	257
898	2271	255
899	2273	252
900	2275	249
901	2277	247
902	2278	244
903	2280	242
904	2282	239
905	2284	237
906	2286	234
907	2289	231
908	2291	229
909	2293	226
910	2295	224
911	2297	221
912	2300	219
913	2302	216
914	2304	214
915	2306	211
916	2308	208
917	2310	206
918	2312	203
919	2315	201
920	2317	198
921	2320	196
922	2322	193
923	2324	191
924	2325	188
925	2328	186
926	2330	183
927	2333	181
928	2335	178
929	2337	175
930	2339	173
931	2341	170
932	2343	168
933	2345	165
934	2347	163
935	2349	160
936	2351	158
937	2353	155
938	2355	153
939	2357	150
940	2359	147
941	2362	145
942	2364	142
943	2365	140
944	2367	137
945	2369	135
946	2371	132
947	2373	130
948	2375	127
949	2378	125
950	2379	122
951	2381	120
952	2383	117
953	2385	115
954	2387	112
955	2389	109
956	2391	107
957	2393	104
958	2395	102
959	2396	99
960	2398	97
961	2400	94
962	2402	92
963	2404	89
964	2406	87
965	2408	84
966	2410	82
967	2412	79
968	2414	77
969	2416	74
970	2417	72
971	2419	69
972	2423	67
973	2425	64
974	2427	62
975	2428	59
976	2430	57
977	2432	54
978	2434	52
979	2436	49
980	2438	47
981	2440	44
982	2442	42
983	2444	39
984	2446	37
985	2448	34
986	2450	32
987	2453	29
988	2456	27
989	2458	24
990	2460	22
991	2462	19
992	2463	17
993	2465	14
994	2467	12
995	2470	9
996	2472	7
997	2474	4
998	2476	2
999	2478	0
