iter	MultiClass
0	1.016986373
1	0.9465781042
2	0.8932909836
3	0.8376376086
4	0.7919770659
5	0.743655453
6	0.7042748824
7	0.6698244777
8	0.6423334065
9	0.6145696942
10	0.5839413933
11	0.5592925359
12	0.5368179635
13	0.5133079538
14	0.4946030419
15	0.4710949547
16	0.4536152694
17	0.439998349
18	0.4282690724
19	0.4122679168
20	0.3975354348
21	0.386024023
22	0.3727122291
23	0.3614457694
24	0.3521371769
25	0.3418569499
26	0.332643859
27	0.3273776446
28	0.3199496318
29	0.3110215559
30	0.3020530804
31	0.295663731
32	0.2894682878
33	0.2854232092
34	0.2803028118
35	0.2762366737
36	0.270279004
37	0.2644509485
38	0.2618451537
39	0.2574902652
40	0.2523556908
41	0.2483260192
42	0.2436803508
43	0.2408319758
44	0.2385319275
45	0.2362589768
46	0.2311597271
47	0.2295165285
48	0.2266921959
49	0.2234773432
50	0.2221655476
51	0.2190192182
52	0.215207048
53	0.2117551099
54	0.2102024264
55	0.2089375459
56	0.2068674538
57	0.2044684243
58	0.2033139838
59	0.2005449376
60	0.1982050872
61	0.1967120625
62	0.1940873346
63	0.1932490268
64	0.1903576697
65	0.1890718824
66	0.1866746098
67	0.1846599183
68	0.1839085657
69	0.181866103
70	0.1805781771
71	0.1797477822
72	0.1791504233
73	0.1783951754
74	0.1771060308
75	0.1762904135
76	0.175568027
77	0.1734148115
78	0.1710882535
79	0.1701475887
80	0.1686353335
81	0.1679190199
82	0.1669731408
83	0.1666655781
84	0.1656370406
85	0.1649955966
86	0.1634869294
87	0.1628905336
88	0.162102394
89	0.1601986185
90	0.1578051847
91	0.1573197756
92	0.1564980738
93	0.155298581
94	0.1540410931
95	0.1533105811
96	0.1509790119
97	0.150115624
98	0.1483529851
99	0.1479542
100	0.1473870837
101	0.1453910213
102	0.1441409635
103	0.1434869925
104	0.1426860174
105	0.1423031069
106	0.141796877
107	0.1413432614
108	0.1409626824
109	0.1393607256
110	0.1386268479
111	0.1380225504
112	0.1373755302
113	0.136362132
114	0.1358541346
115	0.1353736931
116	0.1348432468
117	0.1344930894
118	0.1342315463
119	0.1337385004
120	0.1327732603
121	0.1323102079
122	0.1314680172
123	0.1308359686
124	0.1302981865
125	0.1292176249
126	0.1284752
127	0.1278604134
128	0.1269495398
129	0.1266372719
130	0.1263316768
131	0.1256555496
132	0.1252556489
133	0.1246435074
134	0.1242744487
135	0.1240076005
136	0.1235367
137	0.1232427823
138	0.1227604395
139	0.1223668237
140	0.1220971381
141	0.1219230856
142	0.1215016163
143	0.1209205606
144	0.1205401786
145	0.1201198705
146	0.118705917
147	0.1183082797
148	0.1178752205
149	0.1176134978
150	0.1172437777
151	0.1168494162
152	0.1165082972
153	0.115835962
154	0.1153987921
155	0.1152128675
156	0.1147491158
157	0.1144467402
158	0.1139835941
159	0.1136108684
160	0.1133973202
161	0.1132961729
162	0.1130347163
163	0.1125889102
164	0.1123069812
165	0.1119276964
166	0.1108318844
167	0.1105176709
168	0.110304758
169	0.1100862499
170	0.1095651781
171	0.1092248573
172	0.1089317802
173	0.1086248718
174	0.1082509684
175	0.1079723601
176	0.1077648869
177	0.1075356537
178	0.107155125
179	0.1069269565
180	0.1067174884
181	0.106454743
182	0.1063733691
183	0.1060354692
184	0.1055429246
185	0.1051814785
186	0.1050035467
187	0.1037048723
188	0.1034494368
189	0.1031306582
190	0.1027593924
191	0.102507098
192	0.1018253798
193	0.1013552332
194	0.1010809405
195	0.1008711553
196	0.1005610022
197	0.1002658621
198	0.1000218955
199	0.09977233309
200	0.09953010605
201	0.09865971142
202	0.09784966714
203	0.09751225599
204	0.09725291016
205	0.09676756368
206	0.09653414722
207	0.09621133723
208	0.0960179275
209	0.09582403886
210	0.09558527874
211	0.09543408298
212	0.09521058648
213	0.09486129758
214	0.09463503613
215	0.09449085466
216	0.09422546629
217	0.09402127683
218	0.09363178739
219	0.09345276887
220	0.09331508222
221	0.09312422183
222	0.09285396886
223	0.09263491027
224	0.09221457601
225	0.09212769769
226	0.09172619859
227	0.09149706526
228	0.09134080419
229	0.09120649319
230	0.09054439669
231	0.09043477748
232	0.09023172902
233	0.08941851646
234	0.08935793009
235	0.08917224156
236	0.08905532079
237	0.0889077915
238	0.08864497576
239	0.0884508459
240	0.08832918255
241	0.08808923754
242	0.0879277768
243	0.08779441099
244	0.08759984067
245	0.08745953272
246	0.08734462424
247	0.08717476283
248	0.08691766416
249	0.08659644892
250	0.08628350606
251	0.08609602747
252	0.08587855072
253	0.08571338119
254	0.08553070033
255	0.08523335226
256	0.08505148821
257	0.08483006081
258	0.08466996576
259	0.08449397579
260	0.08434148431
261	0.08417135635
262	0.08391957345
263	0.0837159407
264	0.08357123089
265	0.08347140718
266	0.08327314816
267	0.08295493489
268	0.08281980338
269	0.08264618245
270	0.082471513
271	0.08213497017
272	0.08194866194
273	0.0816538944
274	0.08149485735
275	0.08127042977
276	0.08114331209
277	0.08103236136
278	0.08092952549
279	0.08067731614
280	0.08047870419
281	0.0803342583
282	0.08010561206
283	0.07978072882
284	0.0797213528
285	0.07960630507
286	0.07950625476
287	0.07938123256
288	0.07928741745
289	0.07875623152
290	0.07847072318
291	0.07836025383
292	0.07818087746
293	0.07802668924
294	0.07793675624
295	0.0778325006
296	0.07773914502
297	0.07750491168
298	0.0773239435
299	0.07719671508
300	0.07700837636
301	0.07685636676
302	0.07673003916
303	0.07654743053
304	0.07625964195
305	0.07598756194
306	0.07581807417
307	0.07575434269
308	0.07565398534
309	0.07552742711
310	0.0754333231
311	0.07530151413
312	0.07524431513
313	0.07510142312
314	0.07486671873
315	0.07474422496
316	0.07464949927
317	0.07441217724
318	0.07427396335
319	0.07407628841
320	0.07345978728
321	0.07323435277
322	0.07314560745
323	0.07279316654
324	0.07269802311
325	0.07259743446
326	0.07248166936
327	0.07235158611
328	0.07225933763
329	0.07207618549
330	0.07194248278
331	0.07159589356
332	0.07151358818
333	0.07134083806
334	0.07112221123
335	0.07104827429
336	0.07085939136
337	0.07076526595
338	0.07072356263
339	0.07062840364
340	0.07050460199
341	0.07038030132
342	0.07030148676
343	0.07000772516
344	0.06987535822
345	0.06977879262
346	0.06952790107
347	0.06948260357
348	0.06935834582
349	0.06925734928
350	0.06893348295
351	0.06877205387
352	0.0687160001
353	0.06863200696
354	0.06853277071
355	0.06836105847
356	0.06829352922
357	0.06814392423
358	0.06802869734
359	0.06751604226
360	0.06742109551
361	0.06733627417
362	0.06719083242
363	0.0671390356
364	0.06707307744
365	0.06693839415
366	0.0667793029
367	0.06655651763
368	0.06638529027
369	0.06623849353
370	0.06608558229
371	0.06599183443
372	0.06570024689
373	0.06563819462
374	0.06549647017
375	0.06537381481
376	0.0651783337
377	0.06503488053
378	0.064846467
379	0.06479106658
380	0.06464019478
381	0.06452382867
382	0.06442281289
383	0.06436901385
384	0.06426688572
385	0.06414324132
386	0.06404589041
387	0.0640001966
388	0.06385482392
389	0.06368103289
390	0.06362223538
391	0.06335395682
392	0.06322631945
393	0.0631000032
394	0.06270597653
395	0.06258614139
396	0.06251821813
397	0.0624243831
398	0.06227425221
399	0.06212638179
400	0.06199024059
401	0.06190090885
402	0.06186271229
403	0.06179187486
404	0.06168211409
405	0.06147936083
406	0.06140652561
407	0.0611375597
408	0.06105272754
409	0.06076658846
410	0.06069518812
411	0.0605447033
412	0.06045980625
413	0.06036884855
414	0.06023488555
415	0.06006298888
416	0.06000236902
417	0.05991680354
418	0.05981416507
419	0.05973935473
420	0.05967743946
421	0.05958288536
422	0.05941672046
423	0.05923950892
424	0.05915021788
425	0.0589702504
426	0.05886749485
427	0.05877770066
428	0.05870796759
429	0.05850945963
430	0.05838399819
431	0.05830052799
432	0.05822031718
433	0.05815207707
434	0.05803640782
435	0.05790010728
436	0.05782593648
437	0.05755847415
438	0.05749765802
439	0.05742261259
440	0.05734698456
441	0.05728503546
442	0.05705053745
443	0.0569621823
444	0.0568656558
445	0.05682020442
446	0.05674335911
447	0.05664650911
448	0.05658116921
449	0.05649647048
450	0.05639090755
451	0.05592164205
452	0.0558625415
453	0.0558057325
454	0.05570794539
455	0.0556200002
456	0.05544611663
457	0.05540298969
458	0.05532424337
459	0.05526158322
460	0.05506563741
461	0.05495644712
462	0.05491713791
463	0.05481633599
464	0.05473695821
465	0.05461304255
466	0.05454574669
467	0.05419153561
468	0.05396788015
469	0.05385102149
470	0.05375340799
471	0.05366780952
472	0.05357783793
473	0.053468586
474	0.05335082212
475	0.05316025138
476	0.05310959231
477	0.05292224635
478	0.05283198044
479	0.05275252207
480	0.05267110248
481	0.05258762102
482	0.05245358107
483	0.05238837417
484	0.05228671209
